participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.player_role,player.quiz_01,player.quiz_02,player.ret_score,player.vcm_score,player.vcm_ge_percent,player.op_ret_scores,player.op_ge_overallavg,player.round_base_points,player.round_payoff,player.A_stage1,player.F_stage2,player.A_stage3,player.Nature,player.terminal_choice,player.postStage_self_individual_exchange,player.postStage_self_ge,player.postStage_op_individual_exchange,player.postStage_op_group_exchange,player.postStage_round_points,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,710aenu7,SSEL_B_01,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:44.953576+00:00,0,1,,,1,A,45,30,60,76.5,0.115,"[56, 60, 60, 60]","[6.048000000000001, 7.8, 3.0, 3.12]",66.534,67.701,A2,,A3,N1,A3,53.1,6.9,"[49.952, 52.5, 57.0]","[6.048000000000001, 7.5, 3.0, 5.754]",67.701,70,4,1,lh2adj16,,,,,,,,0
2,kinq3j0d,SSEL_B_02,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:50.557756+00:00,0,1,,,2,F,45,30,56,59.7,0.108,"[60, 60, 60, 42]","[6.8999999999999995, 7.5, 3.0, 5.754]",64.553,,,F2,,N1,A3,49.952,6.048,"[53.1, 52.5, 57.0]","[6.8999999999999995, 7.5, 3.0, 5.754]",64.553,30,4,1,lh2adj16,,,,,,,,0
3,qntguhzg,SSEL_B_03,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:55.049510+00:00,0,1,,,2,F,45,30,60,76.5,0.052,"[42, 60, 60, 60]","[5.754000000000001, 7.8, 3.0, 6.9]",70.167,72.264,,F2,,N1,N1,55.32,4.68,"[30.491999999999997, 52.2, 57.0]","[11.508000000000003, 7.8, 3.0, 6.9]",72.264,75,3,1,lh2adj16,,,,,,,,0
4,vv84yx41,SSEL_B_04,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:00.578437+00:00,0,1,,,2,F,45,30,60,63.5,0.05,"[60, 56, 42]","[7.5, 6.048, 5.754]",68.151,,,F2,,N2,A3,57.0,3.0,"[52.5, 49.952, 36.246]","[7.5, 6.048, 5.754]",68.151,30,2,1,lh2adj16,,,,,,,,0
5,r1pba33y,SSEL_B_05,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:03.405408+00:00,0,1,,,1,A,45,30,42,44.3,0.137,"[60, 60, 56, 60]","[3.12, 7.5, 6.048, 3.0]",48.957,47.436,A2,,A4,N1,N1,30.492,11.508,"[55.32, 52.2, 57.0]","[4.68, 7.8, 3.0, 6.9]",47.436,45,3,1,lh2adj16,,,,,,,,0
6,6bh434eo,SSEL_B_08,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:13.967788+00:00,0,1,,,1,A,45,30,60,63.5,0.125,"[60, 56, 42]","[3.0, 6.048, 5.754]",63.651,63.651,A2,,A3,N2,A3,52.5,7.5,"[57.0, 49.952, 36.246]","[3.0, 6.048, 5.754]",63.651,65,2,1,lh2adj16,,,,,,,,0
7,h3qp2fxk,SSEL_B_07,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:19.358421+00:00,0,1,,,1,A,45,30,60,49.5,0.13,"[60, 60, 60]","[3.0, 3.12, 6.9]",62.61,62.61,A2,,A3,N2,A3,52.2,7.8,"[57.0, 56.88, 53.1]","[3.0, 3.12, 6.9]",62.61,55,1,1,lh2adj16,,,,,,,,0
8,t5xn077y,SSEL_B_06,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:21.809491+00:00,0,1,,,2,F,45,30,60,76.5,0.05,"[60, 60, 60]","[7.800000000000001, 3.12, 6.9]",67.41,,,F2,,N2,A3,57.0,3.0,"[52.2, 56.88, 53.1]","[7.800000000000001, 3.12, 6.9]",67.41,40,1,1,lh2adj16,,,,,,,,0
1,710aenu7,SSEL_B_01,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:44.953576+00:00,0,1,,,1,,,,,,,,,,,,,,,,,,,,,0,4,2,lh2adj16,,,,,,,,0
2,kinq3j0d,SSEL_B_02,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:50.557756+00:00,0,1,,,2,,,,,,,,,,,,,,,,,,,,,0,4,2,lh2adj16,,,,,,,,0
3,qntguhzg,SSEL_B_03,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:55.049510+00:00,0,1,,,2,,,,,,,,,,,,,,,,,,,,,0,3,2,lh2adj16,,,,,,,,0
4,vv84yx41,SSEL_B_04,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:00.578437+00:00,0,1,,,2,,,,,,,,,,,,,,,,,,,,,0,2,2,lh2adj16,,,,,,,,0
5,r1pba33y,SSEL_B_05,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:03.405408+00:00,0,1,,,1,,,,,,,,,,,,,,,,,,,,,0,3,2,lh2adj16,,,,,,,,0
6,6bh434eo,SSEL_B_08,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:13.967788+00:00,0,1,,,1,,,,,,,,,,,,,,,,,,,,,0,2,2,lh2adj16,,,,,,,,0
7,h3qp2fxk,SSEL_B_07,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:19.358421+00:00,0,1,,,1,,,,,,,,,,,,,,,,,,,,,0,1,2,lh2adj16,,,,,,,,0
8,t5xn077y,SSEL_B_06,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:21.809491+00:00,0,1,,,2,,,,,,,,,,,,,,,,,,,,,0,1,2,lh2adj16,,,,,,,,0
